"ID","yr","ewe_age","age_class","prim","birthdate","median_bdate","birthdate_tp1","greenup_date","mass_fall_tm1","mass_fall","mass_spring","mass_gain","greenup_mismatch","mismatch_tp1","wean_mass","code_sr","repro_tp1","wean_tp1","frs","pred","first_pregnant"
293,2008,4,"adult","FALSE",144,148,"139",160,64.059,68.793,51.627,"17.1662356826706",-16,"-7",29.446,"3","yes","yes","weaned","0","0"
293,2009,5,"adult","FALSE",139,140.5,"137",146,68.793,73.522,52.57,"20.9523400812381",-7,"-13",31.149,"5","yes","yes","weaned","0","0"
293,2010,6,"adult","FALSE",137,144,"149",150,73.522,75.084,57.503,"17.5810264028205",-13,"-2",NA,"3","yes","yes","weaned","0","0"
293,2011,7,"adult","FALSE",149,148,"138",151,75.084,71.694,51.968,"19.7261300597391",-2,"-8",NA,"3","yes","yes","weaned","0","0"
293,2012,8,"adult","FALSE",138,150,NA,146,71.694,74.872,59.686,"15.1856452757208",-8,NA,29.442,"5",NA,NA,NA,"0","0"
294,2005,2,"adult",NA,NA,149.5,NA,142,NA,48.411,40.387,"8.0242294721563",NA,NA,NA,"0","no",NA,"noLamb","0","0"
294,2006,3,"adult",NA,NA,148.5,NA,134,48.411,62.676,45.688,"16.9876160928207",NA,NA,NA,"0","yes","yes","weaned","0","0"
294,2007,4,"prim","TRUE",168,145,"147",152,62.676,65.26,54.924,"10.3364867049028",16,"-13",NA,"5","yes","yes","weaned","0","1"
294,2008,5,"adult","FALSE",147,148,"149",160,65.26,68.032,44.872,"23.1597754799205",-13,"3",29.991,"5","yes","no","notWeaned","0","0"
294,2009,6,"adult","FALSE",149,140.5,"139",146,68.032,68.792,53.183,"15.6092042581647",3,"-11",NA,"2","yes","yes","weaned","0","1"
294,2010,7,"adult","FALSE",139,144,"149",150,68.792,71.308,56.271,"15.0369478698713",-11,"-2",33.698,"5","yes","yes","weaned","0","0"
294,2011,8,"adult","FALSE",149,148,NA,151,71.308,70.398,52.65,"17.7474856156879",-2,NA,30.069,"5","yes","no","neoDeath","0","1"
294,2012,9,"adult","FALSE",NA,150,NA,146,70.398,73.202,56.93,"16.2724131212245",NA,NA,NA,"1",NA,NA,"human","0","0"
294,2013,10,"adult","FALSE",NA,156,NA,146,73.202,NA,NA,NA,NA,NA,NA,"9",NA,NA,NA,"1",NA
295,2005,3,"prim","TRUE",NA,149.5,NA,142,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,"0","0"
296,2008,2,"adult",NA,NA,148,NA,160,NA,52.189,35.001,"17.1872333258426",NA,NA,NA,"0",NA,NA,NA,"0","0"
297,2008,2,"adult",NA,NA,148,NA,160,NA,59.639,41.925,"17.7136653296389",NA,NA,NA,"0","yes","yes","weaned","0","0"
297,2009,3,"prim","TRUE",142,140.5,NA,146,59.639,67.576,46.4,"21.176102509882",-4,NA,23.686,"5","yes","no","neoDeath","0","0"
297,2010,4,"adult","FALSE",NA,144,NA,150,67.576,72.682,55.038,"17.6449491911296",NA,NA,NA,"1","yes","yes","weaned","0","0"
297,2011,5,"adult","FALSE",141,148,"143",151,72.682,74.017,53.08,"20.9372045434621",-10,"-3",NA,"5","yes","yes","weaned","0","0"
297,2012,6,"adult","FALSE",143,150,"152",146,74.017,72.183,56.916,"15.2673692329805",-3,"6",NA,"5","yes","no","notWeaned","0","0"
297,2013,7,"adult","FALSE",152,156,"156",146,72.183,74.435,62.267,"12.1672433081419",6,"4",29.11,"2","yes","yes","weaned","1","0"
297,2014,8,"adult","FALSE",156,155.5,"144",152,74.435,72.211,60.442,"11.7688684216906",4,"7",21.299,"5","yes","yes","weaned","0","1"
297,2015,9,"adult","FALSE",144,147.5,NA,137,72.211,76.136,62.863,"13.273286012268",7,NA,29.691,"3","yes","no","neoDeath","0","0"
297,2016,10,"adult","FALSE",NA,149,NA,123,76.136,76.699,63.939,"12.7597886337551",NA,NA,NA,"1","yes","yes","weaned","0","0"
297,2017,11,"adult","FALSE",145,145.5,"151",141,76.699,79.78,60.231,"19.5491457817014",4,"20",NA,"5","yes","no","notWeaned","0","0"
297,2018,12,"senescent","FALSE",151,152,NA,131,79.78,77.412,62.842,"14.5704361626866",20,NA,NA,"2",NA,NA,NA,"0","0"
298,2008,2,"adult",NA,NA,148,NA,160,NA,66.849,46.342,"20.5066293707521",NA,NA,NA,"0","yes","yes","weaned","0","0"
298,2009,3,"prim","TRUE",142,140.5,"144",146,66.849,71.382,50.758,"20.6236113535068",-4,"-6",25.623,"5","yes","yes","weaned","0","0"
