"ID","yr","ewe_age_z","age_class","prim","mass_gain","repro_tp1","frs","wean_tp1","birthdate_tp1","mismatch_tp1","pred","first_pregnant","birthdate_z","median_bdate_z","greenup_date_z","mass_fall_tm1_z","mass_fall_z","mass_spring_z","greenup_mismatch_z","code_sr","wean_mass_z"
33,2006,1.351,"adult","FALSE",14.911,"yes","weaned","yes",147,-5,"0","0",-0.463,-0.619,-1.097,1.709,1.127,1.143,0.3,"5",0.995
33,2007,1.637,"senescent","FALSE",12.057,"yes","weaned","yes",155,-5,"0","0",-0.533,-1.127,0.507,1.127,0.383,0.805,-0.733,"5",-0.161
33,2008,1.923,"senescent","FALSE",27.056,"yes","weaned","yes",163,17,"0","0",0.032,-0.692,1.219,0.395,1.799,0.301,-0.733,"5",-0.191
33,2009,2.209,"senescent","FALSE",15.106,"yes","weaned","yes",144,-6,"0","1",0.598,-1.781,-0.028,1.787,1.283,1.262,0.463,"5",0.873
33,2010,2.495,"senescent","FALSE",25.637,"yes","neoDeath","no",NA,NA,"0","0",-0.746,-1.272,0.328,1.28,1.517,0.213,-0.787,"5",-0.326
33,2011,2.78,"senescent","FALSE",15.229,"yes","weaned","yes",NA,NA,"0","1",NA,-0.692,0.418,1.509,1.35,1.309,NA,"1",NA
33,2012,3.066,"senescent","FALSE",NA,NA,NA,NA,NA,NA,"0","1",NA,-0.401,-0.028,1.346,NA,NA,NA,"3",NA
34,2000,-0.363,"adult","FALSE",8.445,"yes","notWeaned","no",161,3,"1","1",0.598,1.341,2.11,-0.324,-0.328,0.588,-0.841,"5",0.156
34,2001,-0.078,"adult","FALSE",10.107,"yes","neoDeath","no",NA,NA,"1","1",0.457,1.196,1.041,-0.304,-0.053,0.639,-0.298,"2",0.826
34,2002,0.208,"adult","FALSE",22.115,"yes","weaned","yes",NA,NA,"1","1",NA,0.034,1.041,-0.034,0.283,-0.493,NA,"1",NA
34,2003,0.494,"adult","FALSE",10.919,"yes","weaned","yes",160,14,"0","1",0.528,1.341,0.507,0.296,0.286,0.852,0.083,"3",0.224
34,2004,0.78,"adult","FALSE",11.086,"yes","neoDeath","no",NA,NA,"0","1",0.386,1.051,-0.028,0.3,0.695,1.206,0.3,"5",NA
34,2005,1.066,"adult","FALSE",16.298,"yes","weaned","yes",NA,NA,"0","0",NA,-0.474,-0.384,0.702,1.14,0.988,NA,"1",NA
34,2006,1.351,"adult","FALSE",11.832,"yes","weaned","yes",152,0,"0","0",-0.463,-0.619,-1.097,1.139,0.732,1.151,0.3,"5",1.605
34,2007,1.637,"senescent","FALSE",9.776,"yes","weaned","yes",148,-12,"0","1",-0.18,-1.127,0.507,0.738,0.312,1.013,-0.461,"3",-1.326
