"ID","yr","ewe_age_z","age_class","prim","mass_gain","repro_tp1","frs","wean_tp1","birthdate_tp1","mismatch_tp1","pred","first_pregnant","birthdate_z","median_bdate_z","greenup_date_z","mass_fall_tm1_z","mass_fall_z","mass_spring_z","greenup_mismatch_z","code_sr","wean_mass_z","rtp1"
21,2003,-0.363,"adult","FALSE",14.551,"yes","weaned","yes",200,54,"0","1",0.74,1.341,0.507,-0.493,-0.302,-0.122,0.246,"5",-0.912,"1"
21,2005,0.208,"adult","FALSE",16.46,"yes","weaned","yes",153,19,"0","0",-0.463,-0.474,-0.384,0.202,0.354,0.25,-0.135,"3",0.314,"1"
21,2006,0.494,"adult","FALSE",10.089,"yes","weaned","yes",146,-6,"0","1",-0.109,-0.619,-1.097,0.366,-0.047,0.647,0.572,"3",0.094,"1"
21,2007,0.78,"adult","FALSE",11.688,"yes","weaned","yes",149,-11,"0","0",-0.604,-1.127,0.507,-0.028,-0.484,0.056,-0.787,"3",-0.513,"1"
22,2003,-0.649,"prim","TRUE",13.464,"yes","weaned","yes",160,14,"0","1",0.457,1.341,0.507,0.163,0.345,0.601,0.028,"5",-0.861,"1"
22,2004,-0.363,"adult","FALSE",9.773,"yes","weaned","yes",144,2,"0","1",0.386,1.051,-0.028,0.358,0.667,1.338,0.3,"5",NA,"1"
22,2005,-0.078,"adult","FALSE",14.647,"yes","neoDeath","no",NA,NA,"0","0",-0.746,-0.474,-0.384,0.674,0.951,1.013,-0.352,"3",1.45,"1"
22,2006,0.208,"adult","FALSE",14.785,"yes","weaned","yes",NA,NA,"0","0",NA,-0.619,-1.097,0.953,1.264,1.283,NA,"1",NA,"1"
22,2007,0.494,"adult","FALSE",12.956,"yes","notWeaned","no",145,-15,"0","0",-0.746,-1.127,0.507,1.261,0.87,1.142,-0.896,"5",1.005,"1"
22,2008,0.78,"adult","FALSE",21.027,"yes","weaned","yes",138,-8,"0","0",-0.675,-0.692,1.219,0.874,1.709,0.941,-1.276,"2",NA,"1"
22,2009,1.066,"adult","FALSE",17.022,"yes","weaned","yes",144,-6,"0","0",-1.17,-1.781,-0.028,1.698,1.319,1.065,-0.896,"5",NA,"1"
22,2010,1.351,"adult","FALSE",20.417,"yes","weaned","yes",138,-13,"0","0",-0.746,-1.272,0.328,1.315,1.566,0.883,-0.787,"5",2.058,"1"
23,2002,-0.935,"prim","TRUE",19.818,"yes","weaned","yes",161,9,"1","0",-0.109,0.034,1.041,-1.438,-0.98,-1.373,-0.733,"2",NA,"1"
23,2003,-0.649,"adult","FALSE",14.705,"yes","weaned","yes",163,17,"0","1",0.457,1.341,0.507,-0.945,-0.454,-0.278,0.028,"3",-1.667,"1"
23,2004,-0.363,"adult","FALSE",12.492,"yes","weaned","yes",148,6,"0","1",0.598,1.051,-0.028,-0.427,0.14,0.53,0.463,"5",-0.748,"1"
23,2005,-0.078,"adult","FALSE",16.37,"yes","weaned","yes",146,12,"0","0",-0.463,-0.474,-0.384,0.156,0.327,0.236,-0.135,"3",-0.852,"1"
23,2006,0.208,"adult","FALSE",16.822,"yes","weaned","yes",144,-8,"0","0",-0.604,-0.619,-1.097,0.34,0.532,0.37,0.191,"3",0.318,"1"
24,2002,-0.935,"prim","TRUE",12.902,"yes","neoDeath","no",NA,NA,"1","1",1.66,0.034,1.041,-2.213,-1.78,-1.275,0.626,"3",-1.645,"1"
